date,service
1970-02-01,48558
1970-03-01,48713
1970-04-01,48796
1970-05-01,48788
1970-06-01,48788
1970-07-01,48858
1970-08-01,48832
1970-09-01,48956
1970-10-01,49044
1970-11-01,49064
1970-12-01,49119
1971-01-01,49271
1971-02-01,49293
1971-03-01,49369
1971-04-01,49484
1971-05-01,49602
1971-06-01,49686
1971-07-01,49751
1971-08-01,49803
1971-09-01,49964
1971-10-01,50038
1971-11-01,50163
1971-12-01,50368
1972-01-01,50576
1972-02-01,50733
1972-03-01,50908
1972-04-01,51063
1972-05-01,51247
1972-06-01,51476
1972-07-01,51547
1972-08-01,51741
1972-09-01,51808
1972-10-01,52061
1972-11-01,52285
1972-12-01,52496
1973-01-01,52662
1973-02-01,52854
1973-03-01,53022
1973-04-01,53139
1973-05-01,53266
1973-06-01,53402
1973-07-01,53391
1973-08-01,53609
1973-09-01,53728
1973-10-01,53966
1973-11-01,54201
1973-12-01,54252
1974-01-01,54391
1974-02-01,54536
1974-03-01,54609
1974-04-01,54712
1974-05-01,54914
1974-06-01,55013
1974-07-01,55174
1974-08-01,55223
1974-09-01,55336
1974-10-01,55512
1974-11-01,55492
1974-12-01,55349
1975-01-01,55319
1975-02-01,55406
1975-03-01,55374
1975-04-01,55351
1975-05-01,55527
1975-06-01,55503
1975-07-01,55789
1975-08-01,55977
1975-09-01,55944
1975-10-01,56156
1975-11-01,56243
1975-12-01,56415
1976-01-01,56704
1976-02-01,56923
1976-03-01,57068
1976-04-01,57242
1976-05-01,57324
1976-06-01,57394
1976-07-01,57559
1976-08-01,57666
1976-09-01,57750
1976-10-01,57874
1976-11-01,58033
1976-12-01,58187
1977-01-01,58370
1977-02-01,58510
1977-03-01,58719
1977-04-01,58921
1977-05-01,59169
1977-06-01,59442
1977-07-01,59728
1977-08-01,59951
1977-09-01,60288
1977-10-01,60521
1977-11-01,60802
1977-12-01,61039
1978-01-01,61220
1978-02-01,61495
1978-03-01,61811
1978-04-01,62154
1978-05-01,62427
1978-06-01,62712
1978-07-01,62904
1978-08-01,63109
1978-09-01,63177
1978-10-01,63408
1978-11-01,63713
1978-12-01,63913
1979-01-01,64068
1979-02-01,64271
1979-03-01,64481
1979-04-01,64459
1979-05-01,64718
1979-06-01,64947
1979-07-01,65054
1979-08-01,65241
1979-09-01,65239
1979-10-01,65443
1979-11-01,65626
1979-12-01,65702
1980-01-01,65851
1980-02-01,66009
1980-03-01,66176
1980-04-01,66342
1980-05-01,66186
1980-06-01,66133
1980-07-01,66142
1980-08-01,66239
1980-09-01,66282
1980-10-01,66478
1980-11-01,66624
1980-12-01,66761
1981-01-01,66881
1981-02-01,66987
1981-03-01,67007
1981-04-01,67132
1981-05-01,67148
1981-06-01,67200
1981-07-01,67299
1981-08-01,67307
1981-09-01,67267
1981-10-01,67329
1981-11-01,67296
