"Year","Quarter","Group","Unit","Population","Deflator","Total Wealth (nominal $)","Wealth Per Unit (nominal $)","Wealth Share"
"1976","1","Total","Adults","142686597.4238029","0.25500882","4351830432751.794","30499.2235523434","1"
"1976","2","Total","Adults","143434326.2963304","0.25757614","4501907880189.688","31386.5446050125","1"
"1976","3","Total","Adults","144162595.7176125","0.26090294","4584227876010.098","31799.0103687488","1"
"1976","4","Total","Adults","144889824.1656696","0.26558363","4715425204695.797","32544.9025274825","1"
"1977","1","Total","Adults","145644915.72282332","0.26985976","4781233406872.313","32828.0145114813","1"
"1977","2","Total","Adults","146424562.47274742","0.27366537","4926668740276.253","33646.46379731","1"
"1977","3","Total","Adults","147164300.28477982","0.2769922","5031681919859.474","34190.9138977496","1"
"1977","4","Total","Adults","147898251.270088","0.28297713","5150822355043.696","34826.796874274","1"
"1978","1","Total","Adults","148666876.7451407","0.28709644","5279547639880.956","35512.6021039083","1"
"1978","2","Total","Adults","149458772.69988683","0.29258609","5485255793865.847","36700.7951074256","1"
"1978","3","Total","Adults","150217435.54595143","0.2975474","5696605209469.33","37922.3968826624","1"
"1978","4","Total","Adults","150964538.0431212","0.30363971","5824716831175.36","38583.3448482557","1"
"1979","1","Total","Adults","151741016.1017162","0.30917063","6081200337786.857","40076.1804159164","1"
"1979","2","Total","Adults","152536845.58552408","0.3167488","6299835431346.168","41300.4176608201","1"
"1979","3","Total","Adults","153229494.6269999","0.32366663","6538400292103.804","42670.6379735831","1"
"1979","4","Total","Adults","154118968.3083691","0.32967636","6746438898529.607","43774.2282639148","1"
"1980","1","Total","Adults","154826396.9570137","0.33660239","6880124412069.51","44437.67049607","1"
"1980","2","Total","Adults","155585042.8760116","0.34460983","7178350223567.013","46137.7912097088","1"
"1980","3","Total","Adults","156405887.2405501","0.35231188","7527634517722.24","48128.8438084485","1"
"1980","4","Total","Adults","157039231.30505592","0.36149156","7787102242523.253","49586.9864989115","1"
"1981","1","Total","Adults","157673622.42393282","0.37100971","7921616259944.582","50240.5928028085","1"
"1981","2","Total","Adults","158394091.2270508","0.37836501","8145206732364.832","51423.6779242544","1"
"1981","3","Total","Adults","159058390.03743082","0.38548091","8205640842208.768","51588.8589107293","1"
"1981","4","Total","Adults","159708241.0761866","0.3921428","8475610511023.982","53069.3372734649","1"
"1982","1","Total","Adults","160373783.0808492","0.39754167","8585996187737.963","53537.4050720591","1"
"1982","2","Total","Adults","161046317.98976308","0.40270939","8685689848699.179","53932.8682401251","1"
"1982","3","Total","Adults","161676775.71807632","0.40842187","8914550867476.443","55138.1039600962","1"
"1982","4","Total","Adults","162292403.08385292","0.4126485","9197561380719.688","56672.7783060031","1"
"1983","1","Total","Adults","162937036.25557667","0.4157607","9511169810922.064","58373.2835056802","1"
"1983","2","Total","Adults","163591506.0234012","0.41885632","9794399300269.094","59871.0748397172","1"
"1983","3","Total","Adults","164204880.1967456","0.42330587","9907703732965.564","60337.4499046218","1"
"1983","4","Total","Adults","164804522.37771392","0.42651707","9955800523682.027","60409.7532036434","1"
"1984","1","Total","Adults","165412289.08835468","0.4308345","10105695545967","61093.9828090346","1"
"1984","2","Total","Adults","166021230.6111223","0.43451631","10248513260709","61730.1366998928","1"
"1984","3","Total","Adults","166571553.4857199","0.43837973","10574064595553.68","63480.614632439","1"
"1984","4","Total","Adults","167104400.8055289","0.44165701","10823504686751.88","64770.9134802976","1"
"1985","1","Total","Adults","167664320.09103793","0.44602394","11181700014867.95","66690.9931033421","1"
"1985","2","Total","Adults","168229776.59081","0.44889671","11478329141072.52","68230.0682654509","1"
"1985","3","Total","Adults","168754592.3776501","0.45160443","11610587073429.94","68801.6065805605","1"
"1985","4","Total","Adults","169262654.0593651","0.4541305","12222549663959.78","72210.5518898043","1"
"1986","1","Total","Adults","169786652.10785142","0.45639235","12695946851066.16","74775.8831065323","1"
"1986","2","Total","Adults","170308828.48173591","0.45811769","13005679253585.55","76365.2675526465","1"
"1986","3","Total","Adults","170789350.2707275","0.45999983","13077079855611.33","76568.4735897299","1"
"1986","4","Total","Adults","171256179.79484388","0.46250117","13569540864798.65","79235.3355134645","1"
"1987","1","Total","Adults","171732386.5732911","0.46543998","14233406654597.58","82881.3186528629","1"
"1987","2","Total","Adults","172209932.7502117","0.46866772","14483553078639.71","84104.0516498425","1"
"1987","3","Total","Adults","172654820.3380751","0.47220919","14848918317523.61","86003.4969683903","1"
"1987","4","Total","Adults","173088483.3565768","0.47597352","14510857323266.83","83834.9094166667","1"
"1988","1","Total","Adults","173552968.810536","0.47970483","14945487743547.92","86114.8492358179","1"
"1988","2","Total","Adults","174035550.1945551","0.48437718","15319241475086.39","88023.633435588","1"
"1988","3","Total","Adults","174494434.017764","0.49016401","15541497936944.25","89065.8663379606","1"
"1988","4","Total","Adults","174960508.1471222","0.49439895","15967397629910.72","91262.8672550718","1"
"1989","1","Total","Adults","175465531.4620819","0.49955836","16316134972016.54","92987.6930019299","1"
"1989","2","Total","Adults","175995114.2155522","0.50487465","16687848546325.95","94819.9535010233","1"
"1989","3","Total","Adults","176505975.0648729","0.50856471","17187289558095.71","97375.1146485478","1"
"1989","4","Total","Adults","177067566.320566","0.51218873","17498095520050.01","98821.5735024628","1"
"1990","1","Total","Adults","177708127.9561942","0.51771134","17366824892181.89","97726.6774002756","1"
"1990","2","Total","Adults","178397698.5910217","0.52350646","17630926126140.45","98829.3361707513","1"
"1990","3","Total","Adults","179080890.4342087","0.52799726","17297533653269.57","96590.6167393354","1"
"1990","4","Total","Adults","179760870.5345676","0.53192663","17751099003579.85","98748.4036475355","1"
"1991","1","Total","Adults","180466377.571112","0.53713566","18321048078549.95","101520.5620300691","1"
"1991","2","Total","Adults","181164598.12300712","0.54108161","18298396048231.52","101004.2593189607","1"
"1991","3","Total","Adults","181798099.67034432","0.54530823","18598444252470.21","102302.7429120265","1"
"1991","4","Total","Adults","182424082.46864542","0.54854423","19188152843525.8","105184.3187799715","1"
"1992","1","Total","Adults","183062877.9232979","0.55058324","19091016437868.89","104286.6617986192","1"
"1992","2","Total","Adults","183684279.1598488","0.55389357","19120632622389.59","104095.0957253675","1"
"1992","3","Total","Adults","184252201.017786","0.55660123","19401804073261.43","105300.256746396","1"
"1992","4","Total","Adults","184793848.03040433","0.5604316","19980117568832.92","108121.1186507982","1"
"1993","1","Total","Adults","185347941.523821","0.56357676","20299439707548.57","109520.7183886619","1"
"1993","2","Total","Adults","185893501.8691719","0.56692845","20486949452966.44","110207.9913873738","1"
"1993","3","Total","Adults","186399169.95070717","0.57029653","20850743668367.45","111860.7109349327","1"
"1993","4","Total","Adults","186907647.535986","0.57340866","21240383809952.44","113641.0633270795","1"
"1994","1","Total","Adults","187448234.0476935","0.57614928","21236971368953.25","113295.1263950015","1"
"1994","2","Total","Adults","188005671.453491","0.57893133","21334904351727.11","113480.1103965896","1"
"1994","3","Total","Adults","188542973.62168708","0.58224988","21683581788165.21","115006.0454211011","1"
"1994","4","Total","Adults","189078728.2829344","0.58541155","21853044556464.29","115576.4308069797","1"
"1995","1","Total","Adults","189633081.5504781","0.58858985","22385448511119.29","118046.1147817215","1"
"1995","2","Total","Adults","190186258.92101762","0.59141302","22941987683478.77","120629.0497201816","1"
"1995","3","Total","Adults","190690207.4979484","0.59432715","23551736409454.29","123507.8440496619","1"
"1995","4","Total","Adults","191207945.5668908","0.59719163","24205004588744.21","126589.9516726752","1"
"1996","1","Total","Adults","191772398.9430413","0.6000644","24736202839351.29","128987.2941866793","1"
"1996","2","Total","Adults","192374418.4411935","0.60254914","25131678220755.67","130639.3980259809","1"
"1996","3","Total","Adults","192954881.9777153","0.60452223","25382414717193.59","131545.8539169019","1"
"1996","4","Total","Adults","193541951.6090091","0.60774994","26085745301058.25","134780.8321875163","1"
"1997","1","Total","Adults","194162786.4088714","0.6113739","26237196556496.51","135129.8930230933","1"
"1997","2","Total","Adults","194787778.5932617","0.61261219","27715588594655.82","142286.0756194002","1"
"1997","3","Total","Adults","195364407.53476268","0.61527038","28765921309307.73","147242.3849988601","1"
"1997","4","Total","Adults","195931367.5314056","0.61729282","29235190567387.54","149211.3842501582","1"
"1998","1","Total","Adults","196535161.9369218","0.61820096","31049298558220.58","157983.4277603001","1"
"1998","2","Total","Adults","197154876.59220248","0.61965382","31540079436556.25","159976.1567237017","1"
"1998","3","Total","Adults","197751113.1733541","0.62232023","30531156606394.77","154391.8318155323","1"
"1998","4","Total","Adults","198347160.80731282","0.62402904","32866787066565.95","165703.3402081054","1"
"1999","1","Total","Adults","199001194.27744132","0.62602675","33117861273657.46","166420.414680957","1"
"1999","2","Total","Adults","199674802.8110802","0.62839597","34174387991615.05","171150.2278229303","1"
"1999","3","Total","Adults","200317847.14401808","0.63063312","33766279079470.09","168563.5082489375","1"
"1999","4","Total","Adults","200945492.25439858","0.63411677","36600194084816.62","182139.911048517","1"
"2000","1","Total","Adults","201588133.61759308","0.63832688","37849374732320.83","187755.9658552125","1"
"2000","2","Total","Adults","202233672.046901","0.64230585","37390633006139.71","184888.2662698636","1"
"2000","3","Total","Adults","202844649.9324606","0.64607018","37985677428934.23","187264.8721155918","1"
"2000","4","Total","Adults","203443330.3199651","0.64957863","37087421905727.83","182298.5390939023","1"
"2001","1","Total","Adults","204063662.7925326","0.65383822","36536833376395.95","179046.2489813398","1"
"2001","2","Total","Adults","204692973.61655357","0.65779245","37789559240705.14","184615.8105626792","1"
"2001","3","Total","Adults","205288982.4927916","0.66037631","36251825566577.52","176589.2408173948","1"
"2001","4","Total","Adults","205863798.6977373","0.66243184","37951636210527.05","184353.1327538074","1"
"2002","1","Total","Adults","206451921.3262413","0.66456991","38503859500075.4","186502.7908324984","1"
"2002","2","Total","Adults","207031495.77727792","0.66687304","37525746308639.02","181256.2198217839","1"
"2002","3","Total","Adults","207572100.0064209","0.67008436","36074465871864.04","173792.4599247593","1"
"2002","4","Total","Adults","208111279.24245033","0.67393118","36950388090366.23","177551.107392497","1"
"2003","1","Total","Adults","208683430.2884605","0.67729104","37035407213615.39","177471.7195439131","1"
"2003","2","Total","Adults","209279798.9845501","0.67962724","38986618701028.78","186289.450248884","1"
"2003","3","Total","Adults","209851689.8129637","0.68349057","39806532603982.41","189688.8828460763","1"
"2003","4","Total","Adults","210435437.1879878","0.68770075","41858153185793.95","198912.0926833293","1"
"2004","1","Total","Adults","211051481.70863092","0.69256294","44093157287402.33","208921.3348820528","1"
"2004","2","Total","Adults","211681772.3111053","0.69812691","44632934941562.84","210849.2122598375","1"
"2004","3","Total","Adults","212287594.04909658","0.70260942","45514471534145.26","214400.0535595073","1"
"2004","4","Total","Adults","212879246.41775042","0.70804125","47969766643227.56","225337.9202080251","1"
"2005","1","Total","Adults","213512534.68329567","0.71367961","48555854003352.65","227414.5359914153","1"
"2005","2","Total","Adults","214170633.75121483","0.71887201","49875663083182.88","232878.159856031","1"
"2005","3","Total","Adults","214800915.7146641","0.72541016","51352090859352.22","239068.305125696","1"
"2005","4","Total","Adults","215419990.2629319","0.73127949","52813493712716.05","245165.2404600626","1"
"2006","1","Total","Adults","216055909.60604042","0.73643064","54516137566899.99","252324.2139791757","1"
"2006","2","Total","Adults","216691683.9265981","0.74296045","54279871095319.13","250493.5589208206","1"
"2006","3","Total","Adults","217287706.4582676","0.74814469","55304159724412.87","254520.4265158674","1"
"2006","4","Total","Adults","217870095.1752162","0.75094324","56713340558756.84","260308.0542703516","1"
"2007","1","Total","Adults","218483402.7346296","0.75814158","57511958217688.33","263232.6185780916","1"
"2007","2","Total","Adults","219120282.7887758","0.76321024","58113297073219.16","265211.8568559822","1"
"2007","3","Total","Adults","219735990.38381532","0.76717275","58788194186944.58","267540.1243294673","1"
"2007","4","Total","Adults","220344658.91090068","0.77042526","58023935744668.66","263332.6173253485","1"
"2008","1","Total","Adults","220976401.5688186","0.77313292","55828869039977.47","252646.2945528177","1"
"2008","2","Total","Adults","221617556.89839113","0.77705407","54433534786621.79","245619.2349939986","1"
"2008","3","Total","Adults","222230631.6949686","0.78291523","51748571263770.77","232859.7586618946","1"
"2008","4","Total","Adults","222845329.3581376","0.78477269","48077471836030.04","215743.6818375678","1"
"2009","1","Total","Adults","223493562.77250332","0.78438467","46071050890979.47","206140.3931256657","1"
"2009","2","Total","Adults","224176532.53016832","0.78301424","46901368323899.27","209216.2270267409","1"
"2009","3","Total","Adults","224840720.8370441","0.78385633","48773710746883.05","216925.6110072354","1"
"2009","4","Total","Adults","225490257.82851088","0.78644013","49076451325523.2","217643.3332336986","1"
"2010","1","Total","Adults","226140810.30231792","0.78857827","50069425849672.19","221408.1827279938","1"
"2010","2","Total","Adults","226809589.4915106","0.79242516","48993274960924.84","216010.5975711342","1"
"2010","3","Total","Adults","227446483.9739914","0.79481912","51016977210631.47","224303.2133064993","1"
"2010","4","Total","Adults","228070148.8574287","0.79947507","52641254719616.57","230811.6822097735","1"
"2011","1","Total","Adults","228731557.0671709","0.80360258","53708387987644.65","234809.6986541838","1"
"2011","2","Total","Adults","229417121.3659635","0.80891061","53887209459974.07","234887.4797971762","1"
"2011","3","Total","Adults","230069946.15383232","0.81391323","51646162916903.92","224480.2668940149","1"
"2011","4","Total","Adults","230704280.0463705","0.81489551","53006123912016.01","229757.8696908528","1"
"2012","1","Total","Adults","231349806.84018654","0.81984043","55168965909511.82","238465.5801663229","1"
"2012","2","Total","Adults","231993989.6103354","0.82314241","54936900989998.5","236803.1218492871","1"
"2012","3","Total","Adults","232582679.02197582","0.82741034","56809061645624.7","244253.191529611","1"
"2012","4","Total","Adults","233148491.83070093","0.83160394","57701669764765.55","247488.9256700197","1"
"2013","1","Total","Adults","233751148.78372017","0.83493078","60271156998337.86","257843.2547260085","1"
"2013","2","Total","Adults","234382835.19519517","0.83730006","60863189802500.57","259674.2622036012","1"
"2013","3","Total","Adults","234988424.92437792","0.84124589","62969765328871.06","267969.6472246898","1"
"2013","4","Total","Adults","235580942.5442072","0.84627324","64992954141018.81","275883.7512029343","1"
"2014","1","Total","Adults","236196460.0569744","0.8497982","66563061721909.56","281812.2748573517","1"
"2014","2","Total","Adults","236824297.81048644","0.85461098","68418517244611.62","288899.9054453528","1"
"2014","3","Total","Adults","237406666.6342349","0.85834223","68785448357202.73","289736.8019710177","1"
"2014","4","Total","Adults","237968416.8334831","0.85977042","70543005096133.92","296438.5191733067","1"
"2015","1","Total","Adults","238555811.833302","0.859465","72151082944866.3","302449.4871467815","1"
"2015","2","Total","Adults","239156875.3362772","0.8641209","72489936262525.66","303106.2191316806","1"
"2015","3","Total","Adults","239725565.252823","0.86669642","71064476571941.66","296440.9594654394","1"
"2015","4","Total","Adults","240271900.5790519","0.86661386","72810731868597.83","303034.7356187926","1"
"2016","1","Total","Adults","240834805.0090273","0.86592042","73872466358195.28","306735.0101470022","1"
"2016","2","Total","Adults","241396955.0149817","0.87203753","75087068039403.8","311052.258446026","1"
"2016","3","Total","Adults","241917768.8656583","0.87445623","76713297064889.25","317104.8469262696","1"
"2016","4","Total","Adults","242413391.1930933","0.87906259","77316285960285.73","318943.9559413605","1"
"2017","1","Total","Adults","242922566.0448069","0.88350385","79656033693206.02","327907.0980936103","1"
