"Year","Quarter","Month","Group","Unit","Population","Deflator","Total Disposable Income (nominal $)","Total Factor Income (nominal $)","Total Posttax Income (nominal $)","Total Pretax Income (nominal $)","Disposable Income Per Unit (nominal $)","Factor Income Per Unit (nominal $)","Posttax Income Per Unit (nominal $)","Pretax Income Per Unit (nominal $)","Disposable Income Share","Factor Income Share","Posttax Income Share","Pretax Income Share"
"1976","1","1","Total","Adults","142441452.36818033","0.25327381","1224563459839.459","1554361299561.14","1554361289147.18","1554361295756.245","8596.9599402443","10912.2820198677","10912.2819467573","10912.2819931557","1","1","1","1"
"1976","1","2","Total","Adults","142684055","0.25360942","1234805654652.542","1567661462078.41","1567661470243.74","1567661471993.025","8654.1250502906","10986.9421784965","10986.9422357231","10986.942247983","1","1","1","1"
"1976","1","3","Total","Adults","142934284.9032283","0.25415662","1241312991012.837","1574925958943.939","1574925956748.156","1574925958759.528","8684.5013556632","11018.5317680095","11018.5317526473","11018.5317667193","1","1","1","1"
"1976","2","4","Total","Adults","143186308.4194531","0.25505453","1243952454102.8179","1583163376229.789","1583163375623.248","1583163376096.329","8687.6494535969","11056.6673148108","11056.6673105748","11056.6673138788","1","1","1","1"
"1976","2","5","Total","Adults","143436139.20384932","0.25635439","1249481583517.398","1591653994589.719","1591653994389.68","1591653993589.25","8711.0653594883","11096.6037110612","11096.6037096665","11096.6037040861","1","1","1","1"
"1976","2","6","Total","Adults","143680531.2656886","0.25729281","1255726646929.162","1599226799423.1318","1599226799714.3782","1599226800524.706","8739.7132782528","11130.4348984199","11130.4349004469","11130.4349060867","1","1","1","1"
"1976","3","7","Total","Adults","143922458.7948815","0.25816715","1271031119302.076","1612084142777.885","1612084134818.036","1612084138662.181","8831.3605113817","11201.0603228745","11201.060267568","11201.0602942778","1","1","1","1"
"1976","3","8","Total","Adults","144163366.4589831","0.2594358","1280335303758.678","1624858183599.2532","1624858185135.866","1624858183865.021","8881.1418268521","11270.9506132513","11270.9506239102","11270.9506150949","1","1","1","1"
"1976","3","9","Total","Adults","144401961.898973","0.26102722","1286794585448.1","1633919677038.104","1633919673520.945","1633919677179.696","8911.1987713046","11315.0794875019","11315.0794631452","11315.0794884825","1","1","1","1"
"1976","4","10","Total","Adults","144644004.5978788","0.26280972","1290085678605.856","1639692105657.294","1639692119878.7832","1639692103768.67","8919.0401094908","11336.0530235302","11336.0531218508","11336.0530104731","1","1","1","1"
