Federal Individual Income Tax Rates History,,,,,,,,,,,,,
Nominal Dollars,,,,,,,,,,,,,
 Income Years 1913-2021,,,,,,,,,,,,,
,Married Filing Jointly,,,Married Filing Separately,,,Single Filer,,,Head of Household,,,Notes:
Year,Rates,,Brackets,Rates,,Brackets,Rates,,Brackets,Rates,,Brackets,
2021,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,10.0%,>,$0 ,Last law to change rates was the Tax Cuts and Jobs Act of 2017.
,12.0%,>,"$19,900 ",12.0%,>,"$9,950 ",12.0%,>,"$9,950 ",12.0%,>,"$14,200 ",
,22.0%,>,"$81,050 ",22.0%,>,"$40,525 ",22.0%,>,"$40,525 ",22.0%,>,"$54,200 ",
,24.0%,>,"$172,750 ",24.0%,>,"$86,375 ",24.0%,>,"$86,375 ",24.0%,>,"$86,350 ",
,32.0%,>,"$329,850 ",32.0%,>,"$164,925 ",32.0%,>,"$164,925 ",32.0%,>,"$164,900 ",
,35.0%,>,"$418,850 ",35.0%,>,"$209,425 ",35.0%,>,"$209,425 ",35.0%,>,"$209,400 ",
,37.0%,>,"$628,301 ",37.0%,>,"$523,600 ",37.0%,>,"$523,600 ",37.0%,>,"$523,600 ",
,,,,,,,,,,,,,
2020,10.0%,>,$0.00,10.0%,>,$0.00,10.0%,>,$0.00,10.0%,>,$0.00,Last law to change rates was the Tax Cuts and Jobs Act of 2017.
,12.0%,>,"$19,750",12.0%,>,"$9,875",12.0%,>,"$9,875",12.0%,>,"$14,100",
,22.0%,>,"$80,250 ",22.0%,>,"$40,125 ",22.0%,>,"$40,125 ",22.0%,>,"$53,700 ",
,24.0%,>,"$171,050 ",24.0%,>,"$85,525 ",24.0%,>,"$85,525 ",24.0%,>,"$85,500 ",
,32.0%,>,"$326,600 ",32.0%,>,"$163,300 ",32.0%,>,"$163,300 ",32.0%,>,"$163,300 ",
,35.0%,>,"$414,700 ",35.0%,>,"$207,350 ",35.0%,>,"$207,350 ",35.0%,>,"$207,350 ",
